Iteration, BestFitness
0, 8.23067e+12
1, 8.1068e+12
2, 7.39492e+12
3, 7.19459e+12
4, 7.19459e+12
5, 7.19459e+12
6, 5.86127e+12
7, 5.20129e+12
8, 5.20129e+12
9, 4.63757e+12
10, 4.163e+12
11, 4.163e+12
12, 4.163e+12
13, 3.81302e+12
14, 3.37991e+12
15, 3.37991e+12
16, 3.29464e+12
17, 2.80895e+12
18, 2.75613e+12
19, 2.75613e+12
20, 2.75613e+12
21, 2.75613e+12
22, 2.59902e+12
23, 2.37595e+12
24, 2.37595e+12
25, 2.0421e+12
26, 1.89816e+12
27, 1.85484e+12
28, 1.85484e+12
29, 1.80665e+12
30, 1.4935e+12
31, 1.4935e+12
32, 1.4935e+12
33, 1.4935e+12
34, 1.4935e+12
35, 1.30548e+12
36, 1.19773e+12
37, 1.19773e+12
38, 1.11285e+12
39, 1.11265e+12
40, 1.09724e+12
41, 1.09724e+12
42, 1.09724e+12
43, 1.09724e+12
44, 1.09724e+12
45, 1.09724e+12
46, 1.00237e+12
47, 1.00237e+12
48, 9.93959e+11
49, 8.56966e+11
50, 8.00516e+11
51, 8.00516e+11
52, 7.01821e+11
53, 7.01821e+11
54, 7.01821e+11
55, 6.93634e+11
56, 6.93634e+11
57, 6.93634e+11
58, 6.93634e+11
59, 6.93634e+11
60, 6.93634e+11
61, 6.82258e+11
62, 6.68255e+11
63, 6.65661e+11
64, 6.65661e+11
65, 6.32528e+11
66, 6.32528e+11
67, 5.97161e+11
68, 5.82343e+11
69, 5.47956e+11
70, 5.29114e+11
71, 5.29114e+11
72, 5.29114e+11
73, 5.29114e+11
74, 5.29114e+11
75, 5.29114e+11
76, 4.95753e+11
77, 4.92857e+11
78, 4.92857e+11
79, 4.92857e+11
80, 4.92857e+11
81, 4.92857e+11
82, 4.92857e+11
83, 4.92857e+11
84, 4.77758e+11
85, 4.77758e+11
86, 4.77758e+11
87, 4.77758e+11
88, 4.77758e+11
89, 4.7044e+11
90, 4.19119e+11
91, 4.15157e+11
92, 4.15157e+11
93, 4.15157e+11
94, 4.15157e+11
