Iteration, BestFitness
0, 3.8261e+12
1, 3.8261e+12
2, 3.64601e+12
3, 3.51206e+12
4, 3.51206e+12
5, 2.92212e+12
6, 2.52378e+12
7, 2.32563e+12
8, 2.32563e+12
9, 2.32563e+12
10, 2.32563e+12
11, 2.16637e+12
12, 1.637e+12
13, 1.42058e+12
14, 1.38591e+12
15, 1.37875e+12
16, 1.22808e+12
17, 1.18277e+12
18, 1.16144e+12
19, 8.35419e+11
20, 8.06338e+11
21, 8.06338e+11
22, 7.76049e+11
23, 7.53505e+11
24, 7.53505e+11
25, 7.53505e+11
26, 6.9994e+11
27, 6.10301e+11
28, 6.10301e+11
29, 6.10301e+11
30, 5.75605e+11
31, 5.74034e+11
32, 5.0094e+11
33, 4.5164e+11
34, 4.5164e+11
35, 4.5164e+11
36, 3.89898e+11
37, 3.59473e+11
38, 3.59473e+11
39, 3.59473e+11
40, 3.59473e+11
41, 3.59473e+11
42, 3.59473e+11
43, 3.35813e+11
44, 2.9522e+11
45, 2.74434e+11
46, 2.74434e+11
47, 2.63473e+11
48, 2.55644e+11
49, 2.55644e+11
50, 2.55644e+11
51, 2.55644e+11
52, 2.55644e+11
53, 2.25011e+11
54, 2.03568e+11
55, 2.03568e+11
56, 2.00286e+11
57, 1.98851e+11
58, 1.98688e+11
59, 1.98688e+11
60, 1.98688e+11
61, 1.98688e+11
62, 1.98688e+11
63, 1.96263e+11
64, 1.945e+11
65, 1.945e+11
66, 1.945e+11
67, 1.84929e+11
68, 1.78468e+11
69, 1.77613e+11
70, 1.77613e+11
71, 1.77613e+11
72, 1.77613e+11
73, 1.77613e+11
74, 1.74565e+11
75, 1.48476e+11
76, 1.48476e+11
77, 1.48476e+11
78, 1.48476e+11
79, 1.48476e+11
80, 1.48476e+11
81, 1.48476e+11
82, 1.48476e+11
83, 1.48476e+11
84, 1.48476e+11
85, 1.48476e+11
86, 1.48476e+11
87, 1.48476e+11
88, 1.48476e+11
89, 1.48476e+11
90, 1.48476e+11
91, 1.40371e+11
92, 1.40371e+11
93, 1.40371e+11
94, 1.34486e+11
95, 1.34486e+11
96, 1.34486e+11
97, 1.34486e+11
98, 1.34486e+11
99, 1.34486e+11
100, 1.34486e+11
101, 1.34486e+11
102, 1.31604e+11
103, 1.31604e+11
104, 1.31604e+11
105, 1.31604e+11
106, 1.31604e+11
107, 1.31604e+11
108, 1.31604e+11
109, 1.25577e+11
110, 1.25577e+11
111, 1.25577e+11
112, 1.25577e+11
113, 1.25577e+11
114, 1.25577e+11
115, 1.25577e+11
116, 1.25577e+11
117, 1.25577e+11
118, 1.25577e+11
119, 1.25577e+11
120, 1.25577e+11
121, 1.25577e+11
122, 1.25577e+11
123, 1.25577e+11
124, 1.25577e+11
125, 1.25577e+11
126, 1.25577e+11
127, 1.25577e+11
128, 1.25577e+11
129, 1.25577e+11
130, 1.25577e+11
131, 1.25577e+11
132, 1.18827e+11
133, 1.18827e+11
134, 1.18827e+11
135, 1.18827e+11
136, 1.18827e+11
137, 1.16287e+11
138, 1.14196e+11
139, 1.14196e+11
140, 1.14196e+11
141, 1.14196e+11
142, 1.14196e+11
143, 1.14196e+11
144, 1.14196e+11
145, 1.14196e+11
146, 1.14196e+11
147, 1.09662e+11
148, 1.09662e+11
149, 1.09662e+11
150, 1.09662e+11
151, 1.09662e+11
152, 1.09662e+11
153, 1.09662e+11
154, 1.09662e+11
155, 1.09662e+11
156, 1.09662e+11
157, 1.09662e+11
158, 1.09662e+11
159, 1.09662e+11
160, 1.09662e+11
161, 1.09662e+11
162, 1.00279e+11
163, 1.00279e+11
164, 1.00279e+11
165, 1.00279e+11
166, 1.00279e+11
167, 1.00279e+11
168, 1.00279e+11
169, 1.00279e+11
170, 1.00279e+11
171, 1.00279e+11
172, 1.00279e+11
173, 1.00279e+11
174, 1.00279e+11
175, 1.00279e+11
176, 1.00279e+11
177, 1.00279e+11
178, 1.00279e+11
179, 1.00279e+11
180, 1.00279e+11
181, 1.00279e+11
182, 1.00279e+11
183, 1.00279e+11
184, 1.00279e+11
185, 9.96405e+10
186, 9.8912e+10
187, 9.85966e+10
188, 9.78951e+10
189, 9.78951e+10
190, 9.59659e+10
191, 9.59659e+10
192, 9.59659e+10
193, 9.59659e+10
194, 9.59659e+10
195, 9.59659e+10
196, 9.59659e+10
197, 9.40813e+10
198, 8.90308e+10
199, 8.90308e+10
200, 8.89917e+10
201, 8.89917e+10
202, 8.89917e+10
203, 8.89917e+10
204, 8.89917e+10
205, 8.89917e+10
206, 8.89917e+10
207, 8.89917e+10
208, 8.89917e+10
209, 8.89917e+10
210, 8.89917e+10
211, 8.89917e+10
212, 8.89917e+10
213, 8.89917e+10
214, 8.89917e+10
215, 8.87323e+10
216, 8.87323e+10
217, 8.87323e+10
218, 8.87323e+10
219, 8.87323e+10
220, 8.87323e+10
221, 8.87323e+10
222, 8.87323e+10
223, 8.87323e+10
224, 8.87323e+10
225, 8.87323e+10
226, 8.87323e+10
