Iteration, BestFitness
0, 2.94215e+16
1, 4.75304e+15
2, 2.00446e+15
3, 1.37183e+15
4, 1.37183e+15
5, 1.37183e+15
6, 1.37183e+15
7, 3.55378e+14
8, 3.55378e+14
9, 3.55378e+14
10, 3.55378e+14
11, 3.55378e+14
12, 1.43557e+14
13, 1.43557e+14
14, 1.43557e+14
15, 1.43557e+14
16, 6.90578e+13
17, 6.90578e+13
18, 1.49141e+13
19, 1.49141e+13
20, 1.42496e+13
21, 1.42496e+13
22, 1.42496e+13
23, 1.42496e+13
24, 1.42496e+13
25, 1.06008e+13
26, 1.06008e+13
27, 6.79566e+12
28, 6.79566e+12
29, 6.79566e+12
30, 6.79566e+12
31, 6.79566e+12
32, 6.79566e+12
33, 6.29767e+12
34, 6.29767e+12
35, 4.92069e+12
36, 2.56344e+12
37, 2.56344e+12
38, 2.56344e+12
39, 2.56344e+12
40, 1.97341e+12
41, 1.25033e+12
42, 6.86046e+11
43, 6.86046e+11
44, 6.86046e+11
45, 6.86046e+11
46, 6.86046e+11
47, 6.86046e+11
48, 5.13e+11
49, 5.13e+11
50, 5.13e+11
51, 5.13e+11
52, 5.13e+11
53, 5.13e+11
54, 5.13e+11
55, 5.13e+11
56, 5.13e+11
57, 3.44737e+11
58, 3.44737e+11
59, 3.44737e+11
60, 3.44737e+11
61, 3.44737e+11
62, 3.44737e+11
63, 3.44737e+11
64, 3.44737e+11
65, 3.44737e+11
66, 3.44737e+11
67, 3.44737e+11
68, 3.44737e+11
69, 3.16045e+11
70, 3.16045e+11
71, 3.16045e+11
72, 3.16045e+11
73, 3.16045e+11
74, 2.40144e+11
75, 2.35206e+11
76, 1.86624e+11
77, 1.86624e+11
78, 1.86624e+11
79, 1.86624e+11
80, 1.86624e+11
81, 1.86624e+11
82, 1.86624e+11
83, 1.66131e+11
84, 1.66131e+11
85, 1.47372e+11
86, 9.56614e+10
87, 9.56614e+10
88, 9.56614e+10
89, 8.60012e+10
90, 6.81219e+10
91, 6.81219e+10
92, 6.81219e+10
93, 6.81219e+10
94, 6.81219e+10
95, 6.81219e+10
96, 6.81219e+10
97, 6.81219e+10
98, 6.81219e+10
99, 6.81219e+10
100, 6.81219e+10
101, 6.81219e+10
102, 5.84137e+10
103, 5.84137e+10
104, 5.84137e+10
105, 5.84137e+10
106, 5.84137e+10
107, 5.84137e+10
108, 5.84137e+10
109, 5.84137e+10
110, 5.84137e+10
111, 5.84137e+10
112, 5.84137e+10
113, 5.84137e+10
114, 5.84137e+10
115, 5.84137e+10
116, 5.84137e+10
117, 5.84137e+10
118, 4.39982e+10
119, 4.39982e+10
120, 4.39982e+10
121, 4.39982e+10
122, 4.39982e+10
123, 4.39982e+10
124, 4.39982e+10
125, 2.54652e+10
126, 1.43115e+10
127, 1.43115e+10
128, 1.43115e+10
129, 1.43115e+10
130, 1.43115e+10
131, 1.43115e+10
132, 1.43115e+10
133, 1.43115e+10
134, 1.43115e+10
135, 1.43115e+10
136, 1.43115e+10
137, 1.43115e+10
138, 1.43115e+10
139, 1.43115e+10
140, 1.43115e+10
141, 1.43115e+10
142, 1.43115e+10
143, 1.43115e+10
