# Algorithm: LLSO
# Version: baseline
iter        eval   f_penalty      f_pure     penalty improvement      reward    conflict      weight
0	6623	2.35E+11	1.32E+10	2.22E+11	-2.25E+01	-2.62E+01	1.31E+02	4.60E+08
1	12946	1.48E+11	6.27E+09	1.41E+11	3.72E-01	-2.57E+01	0.00E+00	2.89E+08
2	19269	8.72E+10	4.34E+09	8.29E+10	4.10E-01	-2.52E+01	8.06E+00	1.70E+08
3	25592	5.94E+10	3.22E+09	5.62E+10	3.18E-01	-2.48E+01	8.53E+01	1.16E+08
4	31915	4.98E+10	2.76E+09	4.71E+10	1.62E-01	-2.46E+01	2.70E-02	9.73E+07
5	38238	4.48E+10	2.54E+09	4.22E+10	1.01E-01	-2.45E+01	2.36E+01	8.75E+07
6	44561	4.09E+10	2.35E+09	3.85E+10	8.71E-02	-2.44E+01	2.26E-02	7.98E+07
7	50884	3.85E+10	2.24E+09	3.62E+10	5.84E-02	-2.44E+01	0.00E+00	7.52E+07
8	57207	3.68E+10	2.15E+09	3.47E+10	4.35E-02	-2.43E+01	4.42E+01	7.19E+07
9	63530	3.61E+10	2.07E+09	3.41E+10	1.83E-02	-2.43E+01	5.55E-02	7.06E+07
10	69853	3.25E+10	1.97E+09	3.05E+10	1.01E-01	-2.42E+01	2.33E-03	6.35E+07
11	76176	3.23E+10	1.93E+09	3.03E+10	6.48E-03	-2.42E+01	2.48E-03	6.30E+07
12	82499	3.17E+10	1.88E+09	2.98E+10	1.71E-02	-2.42E+01	5.79E-03	6.20E+07
13	88822	3.10E+10	1.85E+09	2.92E+10	2.25E-02	-2.42E+01	3.19E-03	6.06E+07
14	95145	3.03E+10	1.80E+09	2.85E+10	2.30E-02	-2.41E+01	1.54E-03	5.92E+07
15	101468	2.98E+10	1.77E+09	2.80E+10	1.62E-02	-2.41E+01	7.92E-03	5.82E+07
16	107791	2.97E+10	1.76E+09	2.79E+10	3.84E-03	-2.41E+01	3.89E-04	5.80E+07
17	114114	2.95E+10	1.74E+09	2.77E+10	7.39E-03	-2.41E+01	1.76E+00	5.76E+07
18	120437	2.93E+10	1.73E+09	2.76E+10	5.59E-03	-2.41E+01	2.84E-03	5.72E+07
19	126760	2.92E+10	1.73E+09	2.75E+10	2.11E-03	-2.41E+01	2.89E-04	5.71E+07
20	133083	2.91E+10	1.72E+09	2.74E+10	3.44E-03	-2.41E+01	3.32E-03	5.69E+07
21	139406	2.89E+10	1.71E+09	2.72E+10	7.71E-03	-2.41E+01	3.74E-03	5.65E+07
22	145729	2.85E+10	1.70E+09	2.68E+10	1.31E-02	-2.41E+01	1.19E-04	5.58E+07
# Completed [MACPO_LLSO]: iterations=23, evals=150552, final fitness=2.854636e+10, total time=7s
