Iteration, BestFitness
0, 9.63312e+12
1, 6.93117e+12
2, 6.93117e+12
3, 6.65803e+12
4, 6.55514e+12
5, 6.4285e+12
6, 6.00421e+12
7, 5.73965e+12
8, 5.60363e+12
9, 5.60363e+12
10, 5.47421e+12
11, 5.47421e+12
12, 5.47421e+12
13, 5.47421e+12
14, 5.47421e+12
15, 5.47421e+12
16, 5.24911e+12
17, 4.91188e+12
18, 4.76669e+12
19, 4.76669e+12
20, 4.76669e+12
21, 4.76669e+12
22, 4.76669e+12
23, 4.74006e+12
24, 4.74006e+12
25, 4.60912e+12
26, 4.33066e+12
27, 4.00097e+12
28, 4.00097e+12
29, 4.00097e+12
30, 4.00097e+12
31, 3.78266e+12
32, 3.77072e+12
33, 3.69858e+12
34, 3.69858e+12
35, 3.55351e+12
36, 3.55351e+12
37, 3.55351e+12
38, 3.55144e+12
39, 3.36512e+12
40, 3.14119e+12
41, 3.03268e+12
42, 2.87071e+12
43, 2.84648e+12
44, 2.81439e+12
45, 2.81439e+12
46, 2.70697e+12
47, 2.70697e+12
48, 2.70697e+12
49, 2.70697e+12
50, 2.70697e+12
51, 2.70697e+12
52, 2.70697e+12
53, 2.70697e+12
54, 2.70697e+12
55, 2.6117e+12
56, 2.32248e+12
57, 2.30823e+12
58, 2.2102e+12
59, 2.20214e+12
60, 2.20214e+12
61, 2.20214e+12
62, 2.20214e+12
63, 2.20214e+12
64, 2.20214e+12
65, 2.20214e+12
66, 2.20214e+12
67, 2.20214e+12
68, 2.05157e+12
69, 2.05157e+12
70, 2.05157e+12
71, 2.05157e+12
72, 1.97578e+12
73, 1.91776e+12
74, 1.6711e+12
75, 1.6711e+12
76, 1.6711e+12
77, 1.66871e+12
78, 1.64193e+12
79, 1.64193e+12
80, 1.64193e+12
81, 1.54861e+12
82, 1.54861e+12
83, 1.54717e+12
84, 1.51455e+12
85, 1.51455e+12
86, 1.51455e+12
87, 1.51455e+12
88, 1.51455e+12
89, 1.51455e+12
90, 1.51455e+12
91, 1.44069e+12
92, 1.44069e+12
93, 1.44069e+12
94, 1.44069e+12
95, 1.44069e+12
96, 1.44069e+12
97, 1.44069e+12
98, 1.44069e+12
99, 1.44069e+12
100, 1.44069e+12
101, 1.44069e+12
102, 1.44069e+12
103, 1.44069e+12
104, 1.26668e+12
105, 1.24025e+12
106, 1.22586e+12
107, 1.16722e+12
108, 1.16287e+12
109, 1.14421e+12
110, 1.13889e+12
111, 1.13889e+12
112, 1.13889e+12
113, 1.13889e+12
114, 1.13889e+12
115, 1.10514e+12
116, 1.10514e+12
117, 1.10514e+12
118, 1.10514e+12
119, 1.10514e+12
120, 1.10514e+12
121, 1.10514e+12
122, 1.10514e+12
123, 1.10514e+12
124, 1.10514e+12
125, 1.01912e+12
126, 9.88947e+11
127, 9.88947e+11
128, 9.88947e+11
129, 9.626e+11
130, 9.626e+11
131, 9.626e+11
132, 9.626e+11
133, 9.626e+11
134, 9.626e+11
135, 9.626e+11
136, 9.626e+11
137, 9.626e+11
138, 9.626e+11
139, 9.626e+11
140, 9.60782e+11
141, 9.60782e+11
142, 9.60782e+11
143, 9.56345e+11
144, 8.96769e+11
145, 8.96769e+11
146, 8.96769e+11
147, 8.96769e+11
148, 8.93601e+11
149, 8.84126e+11
150, 8.30536e+11
151, 8.18754e+11
152, 8.18754e+11
153, 8.18754e+11
154, 8.18754e+11
155, 8.18754e+11
156, 8.18754e+11
157, 7.93789e+11
158, 7.90762e+11
159, 7.81506e+11
160, 7.81506e+11
161, 7.81506e+11
162, 7.81506e+11
163, 7.81506e+11
164, 7.74191e+11
165, 7.74191e+11
166, 7.74191e+11
167, 7.74191e+11
168, 7.74191e+11
169, 7.74191e+11
170, 7.74191e+11
171, 7.74191e+11
172, 7.74191e+11
173, 7.74191e+11
174, 7.74191e+11
175, 7.74191e+11
176, 7.74191e+11
177, 7.74191e+11
178, 7.74191e+11
179, 7.74191e+11
180, 7.38953e+11
181, 7.12679e+11
182, 7.12679e+11
183, 7.12679e+11
184, 7.04018e+11
185, 6.91269e+11
186, 6.89307e+11
187, 6.87396e+11
188, 6.87396e+11
189, 6.44116e+11
190, 6.44116e+11
191, 6.44116e+11
192, 6.44116e+11
193, 6.44116e+11
194, 6.09755e+11
195, 6.0685e+11
196, 6.0685e+11
197, 6.0685e+11
198, 6.0685e+11
199, 6.0685e+11
200, 6.0685e+11
201, 6.0685e+11
202, 6.0685e+11
203, 6.0685e+11
204, 6.0685e+11
205, 6.0685e+11
206, 6.0685e+11
207, 6.0685e+11
208, 6.0685e+11
209, 6.00812e+11
210, 6.00812e+11
211, 6.00812e+11
212, 6.00812e+11
213, 6.00812e+11
214, 6.00812e+11
215, 6.00812e+11
216, 5.98631e+11
217, 5.92506e+11
218, 5.72671e+11
219, 5.72671e+11
220, 5.72671e+11
221, 5.22266e+11
222, 5.02286e+11
223, 5.02286e+11
224, 5.02286e+11
225, 5.02286e+11
226, 4.99128e+11
227, 4.99128e+11
228, 4.99128e+11
229, 4.98415e+11
230, 4.84625e+11
231, 4.84625e+11
232, 4.83109e+11
233, 4.76217e+11
234, 4.63708e+11
235, 4.63708e+11
236, 4.48134e+11
237, 4.48134e+11
238, 4.48134e+11
239, 4.48134e+11
240, 4.48134e+11
241, 4.48134e+11
242, 4.48134e+11
243, 4.48134e+11
244, 4.48134e+11
245, 4.48134e+11
246, 4.48134e+11
247, 4.48134e+11
248, 4.48134e+11
249, 4.48134e+11
250, 4.48134e+11
251, 4.48134e+11
252, 4.48134e+11
253, 4.48134e+11
254, 4.48134e+11
255, 4.48134e+11
256, 4.48134e+11
257, 4.44891e+11
258, 4.44891e+11
259, 4.44891e+11
260, 4.44891e+11
261, 4.44891e+11
262, 4.44891e+11
263, 4.44891e+11
264, 4.44891e+11
265, 4.44891e+11
266, 4.44891e+11
267, 4.44891e+11
268, 4.44891e+11
269, 4.44891e+11
270, 4.44891e+11
271, 4.44891e+11
272, 4.44891e+11
273, 4.44891e+11
274, 4.44891e+11
275, 4.44891e+11
276, 4.44891e+11
277, 4.44891e+11
278, 4.44891e+11
279, 4.44891e+11
280, 4.44891e+11
281, 4.44891e+11
282, 4.44891e+11
283, 4.44891e+11
284, 4.39134e+11
285, 4.39134e+11
286, 4.39134e+11
287, 4.37325e+11
288, 3.859e+11
289, 3.859e+11
290, 3.859e+11
291, 3.859e+11
292, 3.859e+11
293, 3.859e+11
294, 3.859e+11
295, 3.859e+11
296, 3.859e+11
297, 3.85045e+11
298, 3.85045e+11
299, 3.65036e+11
300, 3.65036e+11
301, 3.43639e+11
302, 3.43639e+11
303, 3.43639e+11
304, 3.43639e+11
305, 3.43639e+11
306, 3.43639e+11
307, 3.43639e+11
308, 3.43639e+11
309, 3.43639e+11
310, 3.43639e+11
311, 3.43639e+11
312, 3.43639e+11
313, 3.43639e+11
314, 3.43639e+11
315, 3.43639e+11
316, 3.43639e+11
317, 3.43639e+11
318, 3.43639e+11
319, 3.43639e+11
320, 3.43639e+11
321, 3.43639e+11
322, 3.43639e+11
323, 3.43639e+11
324, 3.43639e+11
325, 3.43639e+11
326, 3.43639e+11
327, 3.43639e+11
328, 3.43639e+11
329, 3.43639e+11
330, 3.43639e+11
331, 3.43639e+11
