Iteration, BestFitness
0, 9.32973e+12
1, 8.25951e+12
2, 8.05133e+12
3, 7.41814e+12
4, 7.41814e+12
5, 7.41814e+12
6, 6.63612e+12
7, 6.52198e+12
8, 6.25463e+12
9, 5.73566e+12
10, 5.48511e+12
11, 5.48511e+12
12, 5.41628e+12
13, 4.87973e+12
14, 4.87973e+12
15, 4.87973e+12
16, 4.87973e+12
17, 4.87973e+12
18, 4.87973e+12
19, 4.55633e+12
20, 4.53567e+12
21, 4.53567e+12
22, 4.46374e+12
23, 4.46374e+12
24, 4.46374e+12
25, 4.46374e+12
26, 4.46374e+12
27, 4.20436e+12
28, 3.95578e+12
29, 3.95578e+12
30, 3.95578e+12
31, 3.87856e+12
32, 3.76314e+12
33, 3.73391e+12
34, 3.67209e+12
35, 3.46301e+12
36, 3.46301e+12
37, 3.46301e+12
38, 3.3171e+12
39, 3.3171e+12
40, 3.3171e+12
41, 3.3171e+12
42, 3.3171e+12
43, 3.3171e+12
44, 2.77619e+12
45, 2.77619e+12
46, 2.77619e+12
47, 2.77619e+12
48, 2.77619e+12
49, 2.77619e+12
50, 2.77619e+12
51, 2.77619e+12
52, 2.77619e+12
53, 2.64472e+12
54, 2.51147e+12
55, 2.40831e+12
56, 2.40831e+12
57, 2.26419e+12
58, 2.25673e+12
59, 2.252e+12
60, 2.18579e+12
61, 2.17969e+12
62, 2.03208e+12
63, 2.03208e+12
64, 2.03208e+12
65, 2.03208e+12
66, 1.96698e+12
67, 1.96698e+12
68, 1.96698e+12
69, 1.96698e+12
70, 1.8434e+12
71, 1.8434e+12
72, 1.8434e+12
73, 1.80267e+12
74, 1.75356e+12
75, 1.75356e+12
76, 1.75356e+12
77, 1.75356e+12
78, 1.75356e+12
79, 1.73462e+12
80, 1.73462e+12
81, 1.67741e+12
82, 1.6509e+12
83, 1.6509e+12
84, 1.6509e+12
85, 1.57813e+12
86, 1.57813e+12
87, 1.57813e+12
88, 1.57813e+12
89, 1.57813e+12
90, 1.57813e+12
91, 1.57813e+12
92, 1.57813e+12
93, 1.57813e+12
94, 1.43156e+12
95, 1.39738e+12
96, 1.39738e+12
97, 1.39738e+12
98, 1.39738e+12
99, 1.34913e+12
100, 1.32874e+12
101, 1.32874e+12
102, 1.32874e+12
103, 1.32874e+12
104, 1.32874e+12
105, 1.32874e+12
106, 1.32874e+12
107, 1.32874e+12
108, 1.27912e+12
109, 1.27912e+12
110, 1.27912e+12
111, 1.27912e+12
112, 1.27912e+12
113, 1.27912e+12
114, 1.27912e+12
115, 1.27912e+12
116, 1.27912e+12
117, 1.27912e+12
118, 1.27912e+12
119, 1.24177e+12
120, 1.24177e+12
121, 1.20081e+12
122, 1.20081e+12
123, 1.20081e+12
124, 1.16918e+12
125, 9.48755e+11
126, 9.48755e+11
127, 9.48755e+11
128, 9.37598e+11
129, 9.37598e+11
130, 9.37598e+11
131, 9.37598e+11
132, 9.27443e+11
133, 8.61357e+11
134, 8.61357e+11
135, 8.61357e+11
136, 8.57165e+11
