Iteration, BestFitness
0, 7.62842e+13
1, 7.62842e+13
2, 7.62842e+13
3, 7.62842e+13
4, 7.62842e+13
5, 3.27577e+13
6, 1.70249e+13
7, 7.4883e+12
8, 7.4883e+12
9, 3.22726e+12
10, 3.09173e+12
11, 1.25217e+12
12, 1.25217e+12
13, 1.12305e+12
14, 1.12305e+12
15, 6.79058e+11
16, 5.73629e+11
17, 2.7692e+11
18, 1.88697e+11
19, 1.88697e+11
20, 1.88697e+11
21, 1.88697e+11
22, 1.3352e+11
23, 1.25317e+11
24, 1.13555e+11
25, 1.13555e+11
26, 9.70095e+10
27, 9.68214e+10
28, 9.68214e+10
29, 8.99037e+10
30, 8.99037e+10
31, 8.99037e+10
32, 8.99037e+10
33, 8.90029e+10
34, 7.82719e+10
35, 7.82719e+10
36, 7.82719e+10
37, 7.82719e+10
38, 5.47757e+10
39, 5.47757e+10
40, 5.35002e+10
41, 5.35002e+10
42, 5.35002e+10
43, 5.35002e+10
44, 4.39475e+10
45, 4.39475e+10
46, 4.39475e+10
47, 4.39475e+10
48, 3.81319e+10
49, 3.81319e+10
50, 3.81319e+10
51, 3.42108e+10
52, 3.42108e+10
53, 2.76053e+10
54, 2.70548e+10
55, 2.70548e+10
56, 2.59118e+10
57, 2.49485e+10
58, 2.49485e+10
59, 2.49485e+10
60, 2.49485e+10
61, 2.49485e+10
62, 2.49485e+10
63, 2.49485e+10
64, 2.49485e+10
65, 2.49485e+10
66, 2.49485e+10
67, 2.49485e+10
68, 2.49485e+10
69, 2.49485e+10
70, 2.49485e+10
71, 2.49485e+10
72, 2.29075e+10
73, 2.10049e+10
74, 2.10049e+10
75, 2.10049e+10
76, 2.10049e+10
77, 2.10049e+10
78, 2.10049e+10
79, 2.10049e+10
80, 1.9533e+10
81, 1.65093e+10
82, 1.62495e+10
83, 1.62495e+10
84, 1.62495e+10
85, 1.62495e+10
86, 1.62495e+10
87, 1.49488e+10
88, 1.49488e+10
89, 1.49488e+10
90, 1.49488e+10
91, 1.43192e+10
92, 1.43192e+10
93, 1.43192e+10
94, 1.3369e+10
95, 1.24635e+10
96, 1.24635e+10
97, 1.18516e+10
98, 1.18516e+10
99, 1.18516e+10
100, 1.18516e+10
101, 1.18516e+10
102, 1.18516e+10
103, 1.18516e+10
104, 1.18516e+10
105, 1.18516e+10
106, 1.18516e+10
107, 1.18516e+10
108, 1.05938e+10
109, 1.00227e+10
110, 1.00227e+10
111, 1.00227e+10
112, 9.71952e+09
113, 9.71952e+09
114, 9.71952e+09
115, 9.71952e+09
116, 9.71952e+09
117, 9.71952e+09
118, 9.71952e+09
119, 9.71952e+09
120, 9.71952e+09
121, 9.71952e+09
122, 9.71952e+09
123, 9.71952e+09
124, 9.71952e+09
125, 9.71952e+09
126, 9.71952e+09
127, 9.71952e+09
128, 9.71952e+09
129, 9.71952e+09
130, 9.71952e+09
131, 9.71952e+09
132, 9.71952e+09
133, 9.71952e+09
134, 8.30294e+09
135, 8.30294e+09
136, 8.30294e+09
137, 8.30294e+09
138, 8.30294e+09
139, 8.2834e+09
140, 7.72801e+09
141, 6.73252e+09
142, 6.73252e+09
143, 6.73252e+09
144, 6.6604e+09
145, 6.19014e+09
146, 6.19014e+09
147, 6.19014e+09
148, 6.19014e+09
149, 6.19014e+09
150, 5.99585e+09
151, 5.71715e+09
152, 5.54833e+09
153, 5.54833e+09
154, 5.54833e+09
155, 5.54833e+09
156, 5.54833e+09
157, 5.54833e+09
158, 5.24131e+09
159, 4.70777e+09
160, 4.70777e+09
161, 4.70777e+09
162, 4.70777e+09
163, 4.70777e+09
164, 4.6517e+09
165, 4.6517e+09
166, 4.6517e+09
167, 4.6517e+09
168, 4.6517e+09
169, 4.6517e+09
170, 4.6517e+09
171, 4.6517e+09
172, 4.6517e+09
173, 4.6517e+09
174, 4.6517e+09
175, 4.6517e+09
176, 4.6517e+09
177, 4.6517e+09
178, 4.6517e+09
179, 4.6517e+09
180, 4.6517e+09
181, 4.6517e+09
182, 4.6517e+09
183, 4.6517e+09
184, 4.6517e+09
185, 4.6517e+09
186, 4.45648e+09
187, 4.45648e+09
188, 4.45648e+09
189, 4.28235e+09
190, 4.28235e+09
191, 4.28235e+09
192, 4.09567e+09
193, 4.09567e+09
194, 4.09567e+09
195, 4.09567e+09
196, 4.09567e+09
197, 3.35077e+09
198, 3.35077e+09
199, 3.35077e+09
200, 3.35077e+09
201, 3.35077e+09
202, 3.35077e+09
203, 3.35077e+09
204, 3.35077e+09
205, 3.35077e+09
206, 3.35077e+09
207, 2.8545e+09
208, 2.84885e+09
209, 2.83674e+09
210, 2.83674e+09
211, 2.83674e+09
212, 2.83203e+09
213, 2.78279e+09
214, 2.78279e+09
215, 2.78279e+09
216, 2.78279e+09
217, 2.70318e+09
218, 2.70318e+09
219, 2.70318e+09
220, 2.70318e+09
221, 2.70318e+09
222, 2.70318e+09
223, 2.70318e+09
224, 2.70318e+09
225, 2.70318e+09
226, 2.70318e+09
227, 2.70318e+09
228, 2.70318e+09
229, 2.70318e+09
230, 2.70318e+09
231, 2.70318e+09
232, 2.70318e+09
233, 2.70318e+09
234, 2.70318e+09
235, 2.70318e+09
236, 2.62949e+09
237, 2.62949e+09
238, 2.62949e+09
239, 2.57148e+09
240, 2.30582e+09
241, 2.30582e+09
242, 2.30582e+09
243, 2.30582e+09
244, 2.30582e+09
245, 2.30582e+09
246, 2.30582e+09
247, 2.30582e+09
248, 2.30582e+09
249, 2.30582e+09
250, 2.30582e+09
251, 2.30582e+09
252, 2.20084e+09
253, 2.20084e+09
254, 2.20084e+09
255, 2.20084e+09
