Iteration, BestFitness
0, 6.94647e+13
1, 3.57846e+13
2, 3.57846e+13
3, 8.7207e+12
4, 8.7207e+12
5, 4.86394e+12
6, 4.86394e+12
7, 4.86394e+12
8, 4.86394e+12
9, 3.22309e+12
10, 3.22309e+12
11, 3.22309e+12
12, 3.08557e+12
13, 3.08557e+12
14, 3.08557e+12
15, 3.08557e+12
16, 3.08557e+12
17, 2.9983e+12
18, 1.90648e+12
19, 1.88956e+12
20, 1.53259e+12
21, 1.52986e+12
22, 1.52986e+12
23, 1.4539e+12
24, 1.19799e+12
25, 1.09312e+12
26, 1.09312e+12
27, 1.09312e+12
28, 1.08922e+12
29, 9.59576e+11
30, 9.59397e+11
31, 9.54863e+11
32, 8.67473e+11
33, 8.67473e+11
34, 7.21063e+11
35, 5.92296e+11
36, 5.92296e+11
37, 5.92296e+11
38, 5.92296e+11
39, 5.67505e+11
40, 4.56503e+11
41, 4.38299e+11
42, 4.12983e+11
43, 3.93487e+11
44, 3.93487e+11
45, 3.92819e+11
46, 3.54481e+11
47, 3.54481e+11
48, 3.54481e+11
49, 3.54481e+11
50, 3.54481e+11
51, 3.54481e+11
52, 3.13647e+11
53, 2.72766e+11
54, 2.59527e+11
55, 2.59527e+11
56, 2.59527e+11
57, 2.58906e+11
58, 1.96924e+11
59, 1.96924e+11
60, 1.96924e+11
61, 1.96924e+11
62, 1.96924e+11
63, 1.91597e+11
64, 1.91597e+11
65, 1.91597e+11
66, 1.8632e+11
67, 1.66915e+11
68, 1.66915e+11
69, 1.66915e+11
70, 1.66915e+11
71, 1.66915e+11
72, 1.66915e+11
73, 1.33597e+11
74, 1.33597e+11
75, 1.33597e+11
76, 1.27749e+11
77, 1.08966e+11
78, 1.08966e+11
79, 1.08966e+11
80, 1.08966e+11
81, 1.08966e+11
82, 9.68691e+10
83, 9.68691e+10
84, 9.68691e+10
85, 9.68691e+10
86, 9.68691e+10
87, 9.68691e+10
88, 9.68691e+10
89, 9.68691e+10
90, 9.68691e+10
91, 8.49339e+10
92, 8.49339e+10
93, 8.49339e+10
94, 8.49339e+10
95, 8.49339e+10
96, 8.40476e+10
97, 8.25581e+10
98, 8.25581e+10
99, 8.15135e+10
100, 8.15135e+10
101, 8.15135e+10
102, 7.89674e+10
103, 7.19057e+10
104, 7.19057e+10
105, 7.19057e+10
106, 7.19057e+10
107, 7.19057e+10
108, 7.19057e+10
109, 7.12441e+10
110, 6.6955e+10
111, 6.6955e+10
112, 6.41538e+10
113, 6.32949e+10
114, 6.32949e+10
115, 6.32949e+10
116, 6.32949e+10
117, 5.88243e+10
118, 5.88243e+10
119, 5.88243e+10
120, 5.68217e+10
121, 5.68217e+10
122, 5.49943e+10
123, 5.49943e+10
124, 5.49943e+10
125, 5.49943e+10
126, 5.49943e+10
127, 5.31074e+10
128, 5.31074e+10
129, 5.31074e+10
130, 5.31074e+10
131, 5.31074e+10
132, 5.31074e+10
133, 5.10329e+10
134, 5.10329e+10
135, 5.03697e+10
136, 5.03697e+10
137, 4.73073e+10
138, 4.73073e+10
139, 4.73073e+10
140, 4.73073e+10
141, 4.73073e+10
142, 4.73073e+10
143, 4.61927e+10
144, 4.61927e+10
145, 4.61927e+10
146, 4.61927e+10
147, 4.61927e+10
148, 4.61927e+10
149, 4.42046e+10
150, 4.42046e+10
151, 4.12219e+10
152, 4.12219e+10
153, 4.12219e+10
154, 4.12219e+10
155, 4.12219e+10
156, 4.12219e+10
157, 4.12219e+10
158, 4.12219e+10
159, 4.12219e+10
160, 4.12219e+10
161, 4.12219e+10
162, 4.12219e+10
163, 4.12219e+10
164, 4.07138e+10
165, 4.07138e+10
166, 4.07138e+10
167, 4.07138e+10
168, 3.99235e+10
169, 3.95716e+10
170, 3.83153e+10
171, 3.83153e+10
172, 3.79949e+10
173, 3.79949e+10
174, 3.79949e+10
175, 3.79949e+10
176, 3.79949e+10
177, 3.79949e+10
178, 3.79949e+10
179, 3.79949e+10
180, 3.76148e+10
181, 3.68934e+10
182, 3.68934e+10
183, 3.68934e+10
184, 3.68934e+10
185, 3.68934e+10
186, 3.68934e+10
187, 3.68934e+10
188, 3.68934e+10
189, 3.68934e+10
190, 3.68934e+10
191, 3.56438e+10
192, 3.56438e+10
193, 3.56438e+10
194, 3.56438e+10
195, 3.52759e+10
196, 3.52759e+10
197, 3.52759e+10
198, 3.52759e+10
199, 3.52759e+10
200, 3.52759e+10
201, 3.52759e+10
202, 3.44431e+10
203, 3.43656e+10
204, 3.43656e+10
205, 3.43656e+10
206, 3.43656e+10
207, 3.43448e+10
208, 3.43448e+10
209, 3.40124e+10
210, 3.40124e+10
211, 3.40124e+10
212, 3.40124e+10
213, 3.36114e+10
214, 3.35104e+10
215, 3.35104e+10
216, 3.34728e+10
217, 3.33329e+10
218, 3.33329e+10
219, 3.32558e+10
220, 3.31729e+10
221, 3.31729e+10
222, 3.31729e+10
223, 3.31159e+10
224, 3.31159e+10
225, 3.31159e+10
226, 3.30929e+10
227, 3.27595e+10
228, 3.26243e+10
229, 3.20256e+10
230, 3.20256e+10
231, 3.19209e+10
232, 3.19209e+10
233, 3.19209e+10
234, 3.19209e+10
235, 3.19209e+10
236, 3.19209e+10
237, 3.19209e+10
238, 3.19209e+10
239, 3.19209e+10
240, 3.19209e+10
241, 3.19209e+10
242, 3.19209e+10
243, 3.19209e+10
244, 3.19209e+10
245, 3.15785e+10
246, 3.15785e+10
247, 3.15785e+10
248, 3.15068e+10
249, 3.15068e+10
250, 3.12336e+10
251, 3.11093e+10
252, 3.11093e+10
253, 3.11093e+10
254, 3.11093e+10
255, 3.11093e+10
256, 3.11093e+10
257, 3.11093e+10
258, 3.11093e+10
259, 3.10247e+10
260, 3.10247e+10
261, 3.10247e+10
262, 3.09745e+10
263, 3.09572e+10
264, 3.07921e+10
265, 3.07921e+10
