Iteration, BestFitness
0, 9.81236e+13
1, 3.9136e+13
2, 3.9136e+13
3, 3.0118e+13
4, 3.0118e+13
5, 6.01882e+12
6, 6.01882e+12
7, 4.2484e+12
8, 4.2484e+12
9, 4.2484e+12
10, 4.03131e+12
11, 3.42883e+12
12, 2.63712e+12
13, 2.63712e+12
14, 2.63712e+12
15, 1.87899e+12
16, 1.87899e+12
17, 1.87899e+12
18, 1.59062e+12
19, 1.49274e+12
20, 1.49274e+12
21, 1.49274e+12
22, 1.22411e+12
23, 1.18252e+12
24, 1.18252e+12
25, 1.16062e+12
26, 9.72504e+11
27, 7.9149e+11
28, 7.9149e+11
29, 7.9149e+11
30, 6.81305e+11
31, 6.81305e+11
32, 6.81305e+11
33, 6.81305e+11
34, 6.33976e+11
35, 6.33976e+11
36, 5.42343e+11
37, 5.42343e+11
38, 4.99374e+11
39, 4.79797e+11
40, 4.24321e+11
41, 4.06471e+11
42, 4.01369e+11
43, 4.01369e+11
44, 3.67005e+11
45, 3.28057e+11
46, 3.28057e+11
47, 3.28057e+11
48, 3.28057e+11
49, 2.8927e+11
50, 2.8927e+11
51, 2.8927e+11
52, 2.8927e+11
53, 2.8927e+11
54, 2.65061e+11
55, 2.50635e+11
56, 2.41677e+11
57, 2.27714e+11
58, 2.06605e+11
59, 2.06605e+11
60, 2.06605e+11
61, 2.06605e+11
62, 2.06605e+11
63, 1.84417e+11
64, 1.80568e+11
65, 1.65397e+11
66, 1.65397e+11
67, 1.59882e+11
68, 1.59882e+11
69, 1.59882e+11
70, 1.50643e+11
71, 1.50643e+11
72, 1.50643e+11
73, 1.46821e+11
74, 1.22358e+11
75, 1.13936e+11
76, 1.13936e+11
77, 1.13936e+11
78, 1.13936e+11
79, 1.13936e+11
80, 1.12916e+11
81, 1.04675e+11
82, 1.04675e+11
83, 1.04675e+11
84, 1.04675e+11
85, 1.04675e+11
86, 1.04675e+11
87, 9.13337e+10
88, 9.13281e+10
89, 9.13281e+10
90, 9.13281e+10
91, 9.13281e+10
92, 9.13281e+10
93, 7.86154e+10
94, 7.86154e+10
95, 7.86154e+10
96, 7.86154e+10
97, 7.60183e+10
98, 7.36268e+10
99, 6.76054e+10
100, 6.76054e+10
101, 6.40261e+10
102, 6.16292e+10
103, 6.16292e+10
104, 6.16292e+10
105, 6.16292e+10
106, 6.16292e+10
107, 6.16292e+10
108, 5.91118e+10
109, 5.91118e+10
110, 5.91118e+10
111, 5.91118e+10
112, 5.91118e+10
113, 5.91118e+10
114, 5.53809e+10
115, 5.47645e+10
116, 5.47645e+10
117, 5.47645e+10
118, 5.47645e+10
119, 5.47645e+10
120, 5.47645e+10
121, 5.47645e+10
122, 5.24555e+10
123, 5.24555e+10
124, 5.24555e+10
125, 5.24555e+10
126, 5.24555e+10
127, 4.93791e+10
128, 4.93791e+10
129, 4.79024e+10
130, 4.79024e+10
131, 4.79024e+10
132, 4.62951e+10
133, 4.62951e+10
134, 4.62951e+10
135, 4.53389e+10
136, 4.40221e+10
137, 4.38479e+10
138, 4.38479e+10
139, 4.38479e+10
140, 4.38479e+10
141, 4.38479e+10
142, 4.38479e+10
143, 4.25677e+10
144, 4.25677e+10
145, 4.25677e+10
146, 4.25677e+10
147, 4.25677e+10
148, 4.24971e+10
149, 4.01837e+10
150, 4.01837e+10
151, 3.996e+10
152, 3.996e+10
153, 3.996e+10
154, 3.996e+10
155, 3.996e+10
156, 3.996e+10
157, 3.996e+10
158, 3.996e+10
159, 3.76539e+10
160, 3.76539e+10
161, 3.68627e+10
162, 3.66774e+10
163, 3.65875e+10
164, 3.65875e+10
165, 3.65875e+10
166, 3.65875e+10
167, 3.6452e+10
168, 3.57037e+10
169, 3.57037e+10
170, 3.57037e+10
171, 3.55883e+10
172, 3.53622e+10
173, 3.53622e+10
174, 3.53082e+10
175, 3.46511e+10
176, 3.46511e+10
177, 3.44069e+10
178, 3.39082e+10
179, 3.35989e+10
180, 3.34313e+10
181, 3.34313e+10
182, 3.29467e+10
183, 3.29467e+10
184, 3.29467e+10
185, 3.29467e+10
186, 3.29467e+10
187, 3.29467e+10
188, 3.29467e+10
