Iteration, BestFitness
0, 1.80223e+17
1, 1.63417e+16
2, 5.53653e+14
3, 5.53653e+14
4, 1.58504e+14
5, 1.58504e+14
6, 4.82359e+13
7, 3.3465e+13
8, 3.3465e+13
9, 3.3465e+13
10, 3.3465e+13
11, 9.54519e+12
12, 7.48378e+12
13, 7.48378e+12
14, 7.48378e+12
15, 7.48378e+12
16, 7.48378e+12
17, 6.16799e+12
18, 6.16799e+12
19, 5.31503e+12
20, 4.21206e+12
21, 4.21206e+12
22, 3.2944e+12
23, 2.34174e+12
24, 2.34174e+12
25, 1.50099e+12
26, 7.56255e+11
27, 7.56255e+11
28, 7.56255e+11
29, 5.96558e+11
30, 5.41911e+11
31, 3.09544e+11
32, 3.09544e+11
33, 3.09544e+11
34, 3.09544e+11
35, 3.09544e+11
36, 3.09544e+11
37, 3.09544e+11
38, 2.54218e+11
39, 2.54218e+11
40, 2.54218e+11
41, 1.72334e+11
42, 1.19818e+11
43, 9.11052e+10
44, 7.3066e+10
45, 7.3066e+10
46, 7.3066e+10
47, 7.3066e+10
48, 6.78369e+10
49, 6.78369e+10
50, 6.01244e+10
51, 6.01244e+10
52, 4.4368e+10
53, 3.35115e+10
54, 3.35115e+10
55, 3.35115e+10
56, 3.35115e+10
57, 1.71432e+10
58, 1.58945e+10
59, 1.57306e+10
60, 1.57306e+10
61, 1.57306e+10
62, 1.57306e+10
63, 1.57306e+10
64, 1.57306e+10
65, 1.317e+10
66, 1.317e+10
67, 1.317e+10
68, 1.317e+10
69, 1.07084e+10
70, 1.07084e+10
71, 1.07084e+10
72, 1.07084e+10
73, 6.51563e+09
74, 6.51563e+09
75, 6.51563e+09
76, 6.51563e+09
77, 5.24238e+09
78, 3.11246e+09
79, 3.09793e+09
80, 3.02718e+09
81, 3.02718e+09
82, 2.87115e+09
83, 2.80507e+09
84, 1.59719e+09
85, 1.59719e+09
86, 1.59719e+09
87, 1.59719e+09
88, 1.57062e+09
89, 1.57062e+09
90, 1.57062e+09
91, 1.57062e+09
92, 1.57062e+09
93, 1.57062e+09
94, 1.57062e+09
95, 1.57062e+09
96, 1.57062e+09
97, 1.31878e+09
98, 1.31878e+09
99, 1.31878e+09
100, 1.16693e+09
101, 1.16693e+09
102, 5.72943e+08
103, 5.72943e+08
104, 5.21891e+08
105, 5.21891e+08
106, 5.21891e+08
107, 3.40947e+08
108, 3.40947e+08
109, 3.40947e+08
110, 3.40947e+08
111, 3.40947e+08
112, 1.96397e+08
113, 1.92096e+08
114, 1.92096e+08
115, 1.92096e+08
116, 1.92096e+08
117, 1.79492e+08
118, 1.58647e+08
119, 1.58647e+08
120, 1.58647e+08
121, 1.58647e+08
122, 1.58647e+08
123, 1.58647e+08
124, 1.58647e+08
125, 1.43346e+08
126, 9.49085e+07
127, 9.49085e+07
128, 9.49085e+07
129, 9.49085e+07
130, 9.49085e+07
131, 9.49085e+07
132, 9.49085e+07
133, 9.49085e+07
134, 9.49085e+07
135, 9.49085e+07
136, 9.49085e+07
137, 9.49085e+07
138, 7.68073e+07
139, 7.68073e+07
140, 7.68073e+07
141, 7.68073e+07
142, 7.68073e+07
143, 7.68073e+07
144, 7.68073e+07
145, 7.68073e+07
146, 7.68073e+07
147, 7.68073e+07
148, 7.68073e+07
149, 7.68073e+07
150, 7.68073e+07
151, 7.68073e+07
152, 7.68073e+07
153, 7.68073e+07
154, 7.68073e+07
155, 7.68073e+07
156, 7.68073e+07
157, 7.52254e+07
158, 7.52254e+07
159, 7.52254e+07
160, 7.52254e+07
161, 7.52254e+07
162, 7.52254e+07
163, 7.52254e+07
164, 7.29166e+07
165, 7.29166e+07
166, 7.29166e+07
167, 7.29166e+07
168, 7.29166e+07
169, 7.29166e+07
170, 7.29166e+07
171, 7.29166e+07
172, 7.29166e+07
173, 7.29166e+07
174, 7.29166e+07
175, 7.29166e+07
176, 7.29166e+07
177, 7.29166e+07
178, 7.29166e+07
179, 7.29166e+07
180, 7.29166e+07
181, 7.29166e+07
182, 7.29166e+07
183, 7.29166e+07
184, 7.29166e+07
185, 7.29166e+07
186, 7.29166e+07
187, 7.29166e+07
188, 7.29166e+07
189, 7.29166e+07
190, 7.29166e+07
191, 7.29166e+07
192, 7.29166e+07
193, 7.29166e+07
194, 7.25682e+07
195, 6.10094e+07
196, 6.04427e+07
197, 6.04427e+07
198, 6.04427e+07
199, 6.04427e+07
200, 6.04427e+07
201, 6.04427e+07
202, 6.04427e+07
203, 6.04427e+07
204, 6.04427e+07
205, 6.04427e+07
206, 6.04427e+07
207, 6.04427e+07
208, 6.04427e+07
209, 6.04427e+07
210, 6.04427e+07
211, 6.04427e+07
212, 6.04427e+07
213, 6.04427e+07
214, 6.04427e+07
215, 6.04427e+07
216, 6.04427e+07
217, 6.04427e+07
218, 6.04427e+07
219, 6.04427e+07
220, 6.04427e+07
221, 6.04427e+07
222, 6.04427e+07
223, 6.04427e+07
224, 6.04427e+07
225, 6.04427e+07
226, 6.02647e+07
227, 6.02647e+07
228, 6.02647e+07
229, 6.02647e+07
230, 6.02647e+07
231, 6.02647e+07
232, 6.02647e+07
233, 6.02647e+07
234, 6.02647e+07
235, 6.02647e+07
236, 6.02647e+07
237, 6.02647e+07
238, 4.56869e+07
239, 4.56869e+07
240, 4.56869e+07
241, 4.56869e+07
242, 4.56869e+07
243, 4.56869e+07
244, 4.56869e+07
245, 4.56869e+07
246, 4.55326e+07
247, 4.55326e+07
248, 4.55326e+07
249, 4.55326e+07
250, 4.55326e+07
251, 4.55326e+07
252, 4.40564e+07
253, 4.19929e+07
254, 4.19929e+07
255, 4.19929e+07
256, 4.19929e+07
257, 4.19929e+07
258, 4.19929e+07
259, 4.19929e+07
260, 4.19929e+07
261, 4.19929e+07
262, 4.19929e+07
263, 4.19929e+07
264, 4.19929e+07
265, 4.19929e+07
266, 4.19929e+07
267, 4.19929e+07
268, 4.19929e+07
269, 4.19929e+07
270, 4.19929e+07
271, 4.19929e+07
272, 4.19929e+07
273, 4.19929e+07
274, 4.19929e+07
275, 4.19929e+07
276, 4.19929e+07
277, 4.19929e+07
278, 4.19929e+07
279, 4.19929e+07
280, 4.19929e+07
281, 4.19929e+07
282, 4.19929e+07
283, 4.19929e+07
284, 4.19929e+07
285, 4.19929e+07
286, 4.19929e+07
287, 4.19929e+07
288, 4.19929e+07
289, 4.19929e+07
290, 4.19929e+07
291, 4.19929e+07
292, 4.19929e+07
293, 4.19929e+07
294, 4.19929e+07
295, 4.19929e+07
296, 4.19929e+07
297, 4.19929e+07
298, 4.19929e+07
299, 4.19929e+07
300, 4.19929e+07
301, 4.19929e+07
302, 4.19929e+07
303, 4.19929e+07
304, 4.19929e+07
305, 4.19929e+07
306, 4.19929e+07
307, 4.19929e+07
308, 3.84284e+07
309, 3.84284e+07
310, 3.84284e+07
311, 3.84284e+07
312, 3.84284e+07
313, 3.84284e+07
